Serial;Modelo;id_marca;id_tipo
USA3YKA22102094;Bixolom SPP-210;1;1
USA3YKA22102095;Bixolom SPP-210;1;1
USA3YKA22102096;Bixolom SPP-210;1;1
USA3YKA22102097;Bixolom SPP-210;1;1
USA3YKA22102058;Bixolom SPP-210;1;1
USA3YKA22100925;Bixolom SPP-210;1;1
USA3YKA22101288;Bixolom SPP-210;1;1
USA3YKA22101128;Bixolom SPP-210;1;1
USA3YKA22101127;Bixolom SPP-210;1;1
USA3YKA22101287;Bixolom SPP-210;1;1
USA3YKA22101170;Bixolom SPP-210;1;1
USA3YKA22100988;Bixolom SPP-210;1;1
USA3YKA22100992;Bixolom SPP-210;1;1
USA3YKA22100991;Bixolom SPP-210;1;1
USA3YKA22101168;Bixolom SPP-210;1;1
USA3YKA22100995;Bixolom SPP-210;1;1
USA3YKA22100987;Bixolom SPP-210;1;1
USA3YKA22100994;Bixolom SPP-210;1;1
USA3YKA22101334;Bixolom SPP-210;1;1
USA3YKA22101335;Bixolom SPP-210;1;1
USA3YKA22100985;Bixolom SPP-210;1;1
USA3YKA22102106;Bixolom SPP-210;1;1
USA3YKA22102107;Bixolom SPP-210;1;1
USA3YKA22101226;Bixolom SPP-210;1;1
USA3YKA22101227;Bixolom SPP-210;1;1
USA3YKA22101232;Bixolom SPP-210;1;1
USA3YKA22101235;Bixolom SPP-210;1;1
USA3YKA22101236;Bixolom SPP-210;1;1
USA3YKA22102077;Bixolom SPP-210;1;1
USA3YKA22101174;Bixolom SPP-210;1;1
USA3YKA22101173;Bixolom SPP-210;1;1
USA3YKA22100986;Bixolom SPP-210;1;1
USA3YKA22100993;Bixolom SPP-210;1;1
USA3YKA22100990;Bixolom SPP-210;1;1
USA3YKA22102082;Bixolom SPP-210;1;1
USA3YKA22100936;Bixolom SPP-210;1;1
USA3YKA22100935;Bixolom SPP-210;1;1
USA3YKA22100934;Bixolom SPP-210;1;1
USA3YKA22100933;Bixolom SPP-210;1;1
USA3YKA22100929;Bixolom SPP-210;1;1
USA3YKA22102074;Bixolom SPP-210;1;1
USA3YKA00102081;Bixolom SPP-210;1;1
USA3YKA22102078;Bixolom SPP-210;1;1
USA3YKA22100989;Bixolom SPP-210;1;1
USA3YKA22101336;Bixolom SPP-210;1;1
USA3YKA22100996;Bixolom SPP-210;1;1
USA3YKA22101230;Bixolom SPP-210;1;1
USA3YKA22100951;Bixolom SPP-210;1;1
USA3YKA22100054;Bixolom SPP-210;1;1
USA3YKA22100950;Bixolom SPP-210;1;1
USA3YKA22100953;Bixolom SPP-210;1;1
USA3YKA22100957;Bixolom SPP-210;1;1
USA3YKA22100949;Bixolom SPP-210;1;1
USA3YKA22101231;Bixolom SPP-210;1;1
USA3YKA22101228;Bixolom SPP-210;1;1
USA3YKA22101233;Bixolom SPP-210;1;1
USA3YKA22101234;Bixolom SPP-210;1;1
USA3YKA22101229;Bixolom SPP-210;1;1
USA3YKA22100958;Bixolom SPP-210;1;1
USA3YKA22102108;Bixolom SPP-210;1;1
USA3YKA22102109;Bixolom SPP-210;1;1
USA3YKA22102105;Bixolom SPP-210;1;1
USA3YKA22102111;Bixolom SPP-210;1;1
USA3YKA22102110;Bixolom SPP-210;1;1
USA3YKA22101167;Bixolom SPP-210;1;1
USA3YKA22101166;Bixolom SPP-210;1;1
USA3YKA22101333;Bixolom SPP-210;1;1
USA3YKA22101169;Bixolom SPP-210;1;1
USA3YKA22102098;Bixolom SPP-210;1;1
USA3YKA22101171;Bixolom SPP-210;1;1
USA3YKA22102100;Bixolom SPP-210;1;1
USA3YKA22102062;Bixolom SPP-210;1;1
USA3YKA22102099;Bixolom SPP-210;1;1
USA3YKA22101175;Bixolom SPP-210;1;1
USA3YKA22101172;Bixolom SPP-210;1;1
USA3YKA22102112;Bixolom SPP-210;1;1
USA3YKA22101165;Bixolom SPP-210;1;1
USA3YKA22102080;Bixolom SPP-210;1;1
USA3YKA22100930;Bixolom SPP-210;1;1
USA3YKA22101187;Bixolom SPP-210;1;1
USA3YKA22101186;Bixolom SPP-210;1;1
USA3YKA22101185;Bixolom SPP-210;1;1
USA3YKA22101082;Bixolom SPP-210;1;1
USA3YKA22101188;Bixolom SPP-210;1;1
USA3YKA22100931;Bixolom SPP-210;1;1
USA3YKA22101146;Bixolom SPP-210;1;1
USA3YKA22101150;Bixolom SPP-210;1;1
USA3YKA22101151;Bixolom SPP-210;1;1
USA3YKA22101149;Bixolom SPP-210;1;1
USA3YKA22101145;Bixolom SPP-210;1;1
USA3YKA22101320;Bixolom SPP-210;1;1
USA3YKA22101273;Bixolom SPP-210;1;1
USA3YKA22101274;Bixolom SPP-210;1;1
USA3YKA22101275;Bixolom SPP-210;1;1
USA3YKA22101276;Bixolom SPP-210;1;1
USA3YKA22101277;Bixolom SPP-210;1;1
USA3YKA22101278;Bixolom SPP-210;1;1
USA3YKA22101279;Bixolom SPP-210;1;1
USA3YKA22101280;Bixolom SPP-210;1;1
USA3YKA22101281;Bixolom SPP-210;1;1
USA3YKA22101283;Bixolom SPP-210;1;1
USA3YKA22101282;Bixolom SPP-210;1;1
USA3YKA22101284;Bixolom SPP-210;1;1
USA3YKA22101317;Bixolom SPP-210;1;1
USA3YKA22101318;Bixolom SPP-210;1;1
USA3YKA22101316;Bixolom SPP-210;1;1
USA3YKA22101309;Bixolom SPP-210;1;1
USA3YKA22101315;Bixolom SPP-210;1;1
USA3YKA22101314;Bixolom SPP-210;1;1
USA3YKA22101313;Bixolom SPP-210;1;1
USA3YKA22101312;Bixolom SPP-210;1;1
USA3YKA22101311;Bixolom SPP-210;1;1
USA3YKA22101310;Bixolom SPP-210;1;1
USA3YKA22101085;Bixolom SPP-210;1;1
USA3YKA22101084;Bixolom SPP-210;1;1
USA3YKA22101304;Bixolom SPP-210;1;1
USA3YKA22101181;Bixolom SPP-210;1;1
USA3YKA22101183;Bixolom SPP-210;1;1
USA3YKA22101184;Bixolom SPP-210;1;1
USA3YKA22101182;Bixolom SPP-210;1;1
USA3YKA22102018;Bixolom SPP-210;1;1
USA3YKA22102019;Bixolom SPP-210;1;1
USA3YKA22102020;Bixolom SPP-210;1;1
USA3YKA22102021;Bixolom SPP-210;1;1
USA3YKA22101009;Bixolom SPP-210;1;1
USA3YKA22101010;Bixolom SPP-210;1;1
USA3YKA22101011;Bixolom SPP-210;1;1
USA3YKA22101012;Bixolom SPP-210;1;1
USA3YKA22101013;Bixolom SPP-210;1;1
USA3YKA22101014;Bixolom SPP-210;1;1
USA3YKA22101015;Bixolom SPP-210;1;1
USA3YKA22101016;Bixolom SPP-210;1;1
USA3YKA22101017;Bixolom SPP-210;1;1
USA3YKA22101018;Bixolom SPP-210;1;1
USA3YKA22101019;Bixolom SPP-210;1;1
USA3YKA22101123;Bixolom SPP-210;1;1
USA3YKA22102122;Bixolom SPP-210;1;1
USA3YKA22102023;Bixolom SPP-210;1;1
USA3YKA22102024;Bixolom SPP-210;1;1
USA3YKA22102025;Bixolom SPP-210;1;1
USA3YKA22102026;Bixolom SPP-210;1;1
USA3YKA22102027;Bixolom SPP-210;1;1
USA3YKA22102028;Bixolom SPP-210;1;1
USA3YKA22101124;Bixolom SPP-210;1;1
USA3YKA22101121;Bixolom SPP-210;1;1
USA3YKA22101122;Bixolom SPP-210;1;1
USA3YKA22101286;Bixolom SPP-210;1;1
USA3YKA22101285;Bixolom SPP-210;1;1
USA3YKA22101020;Bixolom SPP-210;1;1
USA3YKA22101126;Bixolom SPP-210;1;1
USA3YKA22101120;Bixolom SPP-210;1;1
USA3YKA22102441;Bixolom SPP-210;1;1
USA3YKA22101308;Bixolom SPP-210;1;1
USA3YKA22102039;Bixolom SPP-210;1;1
USA3YKA22102040;Bixolom SPP-210;1;1
USA3YKA22100926;Bixolom SPP-210;1;1
USA3YKA22101238;Bixolom SPP-210;1;1
USA3YKA22101239;Bixolom SPP-210;1;1
USA3YKA22101240;Bixolom SPP-210;1;1
USA3YKA22101241;Bixolom SPP-210;1;1
USA3YKA22101242;Bixolom SPP-210;1;1
USA3YKA22101243;Bixolom SPP-210;1;1
USA3YKA22101244;Bixolom SPP-210;1;1
USA3YKA22101245;Bixolom SPP-210;1;1
USA3YKA22101246;Bixolom SPP-210;1;1
USA3YKA22101247;Bixolom SPP-210;1;1
USA3YKA22101248;Bixolom SPP-210;1;1
USA3YKA22101129;Bixolom SPP-210;1;1
USA3YKA22101130;Bixolom SPP-210;1;1
USA3YKA22101131;Bixolom SPP-210;1;1
USA3YKA22101132;Bixolom SPP-210;1;1
USA3YKA22101133;Bixolom SPP-210;1;1
USA3YKA22101134;Bixolom SPP-210;1;1
USA3YKA22102027;Bixolom SPP-210;1;1
USA3YKA22101125;Bixolom SPP-210;1;1
USA3YKA22101135;Bixolom SPP-210;1;1
USA3YKA22101136;Bixolom SPP-210;1;1
USA3YKA22101137;Bixolom SPP-210;1;1
USA3YKA22101138;Bixolom SPP-210;1;1
USA3YKA22101139;Bixolom SPP-210;1;1
USA3YKA22101140;Bixolom SPP-210;1;1
USA3YKA22101189;Bixolom SPP-210;1;1
USA3YKA22101190;Bixolom SPP-210;1;1
USA3YKA22101191;Bixolom SPP-210;1;1
USA3YKA22101192;Bixolom SPP-210;1;1
USA3YKA22101193;Bixolom SPP-210;1;1
USA3YKA22101194;Bixolom SPP-210;1;1
USA3YKA22101195;Bixolom SPP-210;1;1
USA3YKA22101196;Bixolom SPP-210;1;1
USA3YKA22101197;Bixolom SPP-210;1;1
USA3YKA22101198;Bixolom SPP-210;1;1
USA3YKA22101199;Bixolom SPP-210;1;1
USA3YKA22101200;Bixolom SPP-210;1;1
USA3YKA22100973;Bixolom SPP-210;1;1
USA3YKA22100974;Bixolom SPP-210;1;1
USA3YKA22100975;Bixolom SPP-210;1;1
USA3YKA22100976;Bixolom SPP-210;1;1
USA3YKA22100977;Bixolom SPP-210;1;1
USA3YKA22101079;Bixolom SPP-210;1;1
USA3YKA22100927;Bixolom SPP-210;1;1
USA3YKA22100928;Bixolom SPP-210;1;1
USA3YKA22100978;Bixolom SPP-210;1;1
USA3YKA22100932;Bixolom SPP-210;1;1
USA3YKA22101237;Bixolom SPP-210;1;1
USA3YKA22102464;Bixolom SPP-210;1;1
USA3YKA22101293;Bixolom SPP-210;1;1
USA3YKA22101296;Bixolom SPP-210;1;1
USA3YKA22101294;Bixolom SPP-210;1;1
USA3YKA22101295;Bixolom SPP-210;1;1
USA3YKA22100981;Bixolom SPP-210;1;1
USA3YKA22100984;Bixolom SPP-210;1;1
USA3YKA22101002;Bixolom SPP-210;1;1
USA3YKA22101003;Bixolom SPP-210;1;1
USA3YKA22101006;Bixolom SPP-210;1;1
USA3YKA22101007;Bixolom SPP-210;1;1
USA3YKA22101213;Bixolom SPP-210;1;1
USA3YKA22101008;Bixolom SPP-210;1;1
USA3YKA22101217;Bixolom SPP-210;1;1
USA3YKA22101218;Bixolom SPP-210;1;1
USA3YKA22101223;Bixolom SPP-210;1;1
USA3YKA22101222;Bixolom SPP-210;1;1
USA3YKA22100982;Bixolom SPP-210;1;1
USA3YKA22100983;Bixolom SPP-210;1;1
